"id","data","input_len","labels","output_type","raw_predictions","filtered_predictions","llm_score"
"0","m","1","['move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center']","generate_until","[""The patient performs a series of movements with their right hand, guided by the therapist. They move the blue cylinder back and forth across the mat, following a specific path marked by circular targets. The patient's movements are deliberate and controlled, indicating a focus on precision and coordination.""]","The patient performs a series of movements with their right hand, guided by the therapist. They move the blue cylinder back and forth across the mat, following a specific path marked by circular targets. The patient's movements are deliberate and controlled, indicating a focus on precision and coordination.","85"
"1","m","1","['move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center']","generate_until","[""The patient performs a series of movements with their right hand, guided by the therapist. They lift and rotate the blue cylinder, place it back on the table, and repeat the process. The patient also moves their hand in a circular motion, following the therapist's instructions.""]","The patient performs a series of movements with their right hand, guided by the therapist. They lift and rotate the blue cylinder, place it back on the table, and repeat the process. The patient also moves their hand in a circular motion, following the therapist's instructions.","85"
"2","m","1","['wet toothbrush', 'apply toothpaste to toothbrush', 'replace cap on toothpaste tube', 'brush teeth', 'rinse toothbrush and mouth', 'place toothbrush back on countertop']","generate_until","['The patient is seen washing their hands, applying hand sanitizer, and then brushing their teeth.']","The patient is seen washing their hands, applying hand sanitizer, and then brushing their teeth.","20"
"3","m","1","['pick up comb', 'comb both sides of head']","generate_until","['The patient performs a series of arm and hand movements, including placing their hands on the table, raising one arm, and touching their head.']","The patient performs a series of arm and hand movements, including placing their hands on the table, raising one arm, and touching their head.","35"
"4","m","1","['remove deodorant cap', 'twist deodorant base a few times', 'apply deodorant', 'replace deodarant cap', 'untwist the deodorant base', 'put deodorant on table']","generate_until","['The patient performs a series of exercises, moving their arms in various directions and positions.']","The patient performs a series of exercises, moving their arms in various directions and positions.","10"
"5","m","1","['open water bottle', 'pour water into cup', 'take a sip of water', 'place cup on table', 'replace cap on bottle']","generate_until","['The patient reaches for a water bottle, opens it, pours water into a cup, and drinks from the cup.']","The patient reaches for a water bottle, opens it, pours water into a cup, and drinks from the cup.","85"
"6","m","1","['fill tub with water', 'dip washcloth on the right side into water', 'wring the washcloth', 'wipe each side of face with wet washcloth', 'place first washcloth back on countertop', 'use washcloth on the left side to dry face', 'place second washcloth back on countertop']","generate_until","['The patient turns on the faucet, wets a towel, and then uses it to wipe their face.']","The patient turns on the faucet, wets a towel, and then uses it to wipe their face.","20"
"7","m","1","['remove bread from plastic bag', 'put the bread on plate', 'open margarine pack', 'spread margarine on bread', 'cut bread into four pieces', 'cut off some bread', 'eat a small bite-sized piece of bread']","generate_until","['The patient, wearing a purple shirt and a black wrist brace, is seated at a table with a white plate, a knife, and a small container. They open the container, take out a substance, and spread it onto a slice of bread using the knife.']","The patient, wearing a purple shirt and a black wrist brace, is seated at a table with a white plate, a knife, and a small container. They open the container, take out a substance, and spread it onto a slice of bread using the knife.","85"
"8","m","1","['wear glasses', 'return hands to table', 'remove glasses', 'place glasses on table']","generate_until","['The patient performs a series of movements with their hands and arms, including placing their hands flat on the table, lifting and moving their hands, and manipulating an object.']","The patient performs a series of movements with their hands and arms, including placing their hands flat on the table, lifting and moving their hands, and manipulating an object.","25"
"9","m","1","['move toilet paper roll from center target to shelf target', 'move toilet paper roll from shelf target back to center', 'move toilet paper roll from center target to shelf target', 'move toilet paper roll from shelf target back to center', 'move toilet paper roll from center target to shelf target', 'move toilet paper roll from shelf target back to center', 'move toilet paper roll from center target to shelf target', 'move toilet paper roll from shelf target back to center', 'move toilet paper roll from center target to shelf target', 'move toilet paper roll from shelf target back to center', 'move toilet paper roll from center target to shelf target', 'move toilet paper roll from shelf target back to center']","generate_until","['The patient performs a series of movements with their right arm, lifting the cup and moving it in different directions.']","The patient performs a series of movements with their right arm, lifting the cup and moving it in different directions.","20"
"10","m","1","['move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center']","generate_until","['The patient performs a series of movements with their right hand, including lifting and rotating the blue cylinder, while keeping their left hand stationary.']","The patient performs a series of movements with their right hand, including lifting and rotating the blue cylinder, while keeping their left hand stationary.","85"
"11","m","1","['move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center']","generate_until","['The patient performs a series of movements with their right hand, including lifting and placing the blue cylinder on different circles on the mat.']","The patient performs a series of movements with their right hand, including lifting and placing the blue cylinder on different circles on the mat.","85"
"12","m","1","['wet toothbrush', 'apply toothpaste to toothbrush', 'replace cap on toothpaste tube', 'brush teeth', 'rinse toothbrush and mouth', 'place toothbrush back on countertop']","generate_until","['The patient takes a pill, drinks water from a cup, and then eats a snack.']","The patient takes a pill, drinks water from a cup, and then eats a snack.","0"
"13","m","1","['pick up comb', 'comb both sides of head']","generate_until","[""The patient performs a series of movements with their right arm, guided by the therapist. They start with their arm resting on the table, then lift it up and move it in a circular motion, repeating this action several times. The patient also moves their arm back and forth, following the therapist's instructions.""]","The patient performs a series of movements with their right arm, guided by the therapist. They start with their arm resting on the table, then lift it up and move it in a circular motion, repeating this action several times. The patient also moves their arm back and forth, following the therapist's instructions.","25"
"14","m","1","['remove deodorant cap', 'twist deodorant base a few times', 'apply deodorant', 'replace deodarant cap', 'untwist the deodorant base', 'put deodorant on table']","generate_until","[""The patient performs a series of movements with their right arm, guided by the therapist. They start with their arm resting on the table, then lift and move the arm in various directions, including forward, backward, and to the side. The patient repeats these movements several times, following the therapist's instructions.""]","The patient performs a series of movements with their right arm, guided by the therapist. They start with their arm resting on the table, then lift and move the arm in various directions, including forward, backward, and to the side. The patient repeats these movements several times, following the therapist's instructions.","10"
"15","m","1","['open water bottle', 'pour water into cup', 'take a sip of water', 'place cup on table', 'replace cap on bottle']","generate_until","['The patient, wearing a black polo shirt and a wrist brace on their right hand, is seated at a table with a disposable cup and a water bottle. They perform a series of movements, including picking up the water bottle, pouring water into the cup, and drinking from it.']","The patient, wearing a black polo shirt and a wrist brace on their right hand, is seated at a table with a disposable cup and a water bottle. They perform a series of movements, including picking up the water bottle, pouring water into the cup, and drinking from it.","85"
"16","m","1","['fill tub with water', 'dip washcloth on the right side into water', 'wring the washcloth', 'wipe each side of face with wet washcloth', 'place first washcloth back on countertop', 'use washcloth on the left side to dry face', 'place second washcloth back on countertop']","generate_until","['The patient is seen lying in the bed, covered with a blanket, and later sitting up in bed.']","The patient is seen lying in the bed, covered with a blanket, and later sitting up in bed.","10"
"17","m","1","['remove bread from plastic bag', 'put the bread on plate', 'open margarine pack', 'spread margarine on bread', 'cut bread into four pieces', 'cut off some bread', 'eat a small bite-sized piece of bread']","generate_until","['The patient, wearing a black polo shirt and wrist braces, is seated at a table with a sandwich in front of him. He opens a plastic bag containing bread slices, places the bread on the table, and then proceeds to spread something on the bread using a knife. The patient demonstrates fine motor skills and hand function as he handles the bread and knife.']","The patient, wearing a black polo shirt and wrist braces, is seated at a table with a sandwich in front of him. He opens a plastic bag containing bread slices, places the bread on the table, and then proceeds to spread something on the bread using a knife. The patient demonstrates fine motor skills and hand function as he handles the bread and knife.","95"
"18","m","1","['wear glasses', 'return hands to table', 'remove glasses', 'place glasses on table']","generate_until","['The patient performs a series of hand and wrist movements, including picking up and manipulating an object, as part of a rehabilitation exercise.']","The patient performs a series of hand and wrist movements, including picking up and manipulating an object, as part of a rehabilitation exercise.","20"
"19","m","1","['move toilet paper roll from center target to shelf target', 'move toilet paper roll from shelf target back to center', 'move toilet paper roll from center target to shelf target', 'move toilet paper roll from shelf target back to center', 'move toilet paper roll from center target to shelf target', 'move toilet paper roll from shelf target back to center', 'move toilet paper roll from center target to shelf target', 'move toilet paper roll from shelf target back to center', 'move toilet paper roll from center target to shelf target', 'move toilet paper roll from shelf target back to center', 'move toilet paper roll from center target to shelf target', 'move toilet paper roll from shelf target back to center']","generate_until","['The patient performs a series of movements with their right arm, lifting the pink object and placing it back on the table in different positions.']","The patient performs a series of movements with their right arm, lifting the pink object and placing it back on the table in different positions.","40"
"20","m","1","['move toilet paper roll from center target to shelf target', 'move toilet paper roll from shelf target back to center', 'move toilet paper roll from center target to shelf target', 'move toilet paper roll from shelf target back to center', 'move toilet paper roll from center target to shelf target', 'move toilet paper roll from shelf target back to center', 'move toilet paper roll from center target to shelf target', 'move toilet paper roll from shelf target back to center', 'move toilet paper roll from center target to shelf target', 'move toilet paper roll from shelf target back to center', 'move toilet paper roll from center target to shelf target', 'move toilet paper roll from shelf target back to center']","generate_until","['The patient performs a series of hand movements, including placing their hands flat on the table, lifting and rotating the pink cylinder, and moving their hands in and out of the green circle.']","The patient performs a series of hand movements, including placing their hands flat on the table, lifting and rotating the pink cylinder, and moving their hands in and out of the green circle.","30"
"21","m","1","['move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center']","generate_until","['The patient performs a series of movements with their right hand, which is equipped with a rehabilitation device. They grasp and move a blue cylinder across a table surface marked with circular targets, following a specific pattern or sequence as part of a therapy exercise.']","The patient performs a series of movements with their right hand, which is equipped with a rehabilitation device. They grasp and move a blue cylinder across a table surface marked with circular targets, following a specific pattern or sequence as part of a therapy exercise.","75"
"22","m","1","['move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center']","generate_until","['The patient performs a series of movements with their right hand, including touching and moving the blue cylinder, while wearing a wrist brace.']","The patient performs a series of movements with their right hand, including touching and moving the blue cylinder, while wearing a wrist brace.","75"
"23","m","1","['wet toothbrush', 'apply toothpaste to toothbrush', 'replace cap on toothpaste tube', 'brush teeth', 'rinse toothbrush and mouth', 'place toothbrush back on countertop']","generate_until","['The patient is seen washing their hands under running water, using soap from a dispenser, and drying their hands with paper towels.']","The patient is seen washing their hands under running water, using soap from a dispenser, and drying their hands with paper towels.","10"
"24","m","1","['pick up comb', 'comb both sides of head']","generate_until","['The patient performs a series of hand and wrist movements, including placing their hands flat on the table, making a fist, and rotating their wrists.']","The patient performs a series of hand and wrist movements, including placing their hands flat on the table, making a fist, and rotating their wrists.","30"
"25","m","1","['remove deodorant cap', 'twist deodorant base a few times', 'apply deodorant', 'replace deodarant cap', 'untwist the deodorant base', 'put deodorant on table']","generate_until","['The patient performs a series of movements with their right arm, including lifting it above their head and bringing it back down. They also rotate their wrist and move their hand in various directions.']","The patient performs a series of movements with their right arm, including lifting it above their head and bringing it back down. They also rotate their wrist and move their hand in various directions.","10"
"26","m","1","['open water bottle', 'pour water into cup', 'take a sip of water', 'place cup on table', 'replace cap on bottle']","generate_until","['The patient, wearing a white shirt and black wrist brace, is seated at a table with a coffee cup and water bottle. They pick up the water bottle, pour water into the coffee cup, and take a sip.']","The patient, wearing a white shirt and black wrist brace, is seated at a table with a coffee cup and water bottle. They pick up the water bottle, pour water into the coffee cup, and take a sip.","95"
"27","m","1","['fill tub with water', 'dip washcloth on the right side into water', 'wring the washcloth', 'wipe each side of face with wet washcloth', 'place first washcloth back on countertop', 'use washcloth on the left side to dry face', 'place second washcloth back on countertop']","generate_until","['The patient washes their hands, dries them with a paper towel, and then uses the same towel to dry their face.']","The patient washes their hands, dries them with a paper towel, and then uses the same towel to dry their face.","20"
"28","m","1","['remove bread from plastic bag', 'put the bread on plate', 'open margarine pack', 'spread margarine on bread', 'cut bread into four pieces', 'cut off some bread', 'eat a small bite-sized piece of bread']","generate_until","['The patient is seen spreading a condiment, possibly butter or jam, onto a slice of bread. He uses his right hand to hold the knife and his left hand to steady the bread.']","The patient is seen spreading a condiment, possibly butter or jam, onto a slice of bread. He uses his right hand to hold the knife and his left hand to steady the bread.","40"
"29","m","1","['wear glasses', 'return hands to table', 'remove glasses', 'place glasses on table']","generate_until","['The patient, wearing a white shirt and wrist braces, is seated at a table with a black mat. He picks up a pair of glasses, examines them closely, and then puts them on. He repeats this action several times, adjusting the glasses each time.']","The patient, wearing a white shirt and wrist braces, is seated at a table with a black mat. He picks up a pair of glasses, examines them closely, and then puts them on. He repeats this action several times, adjusting the glasses each time.","75"
"30","m","1","['move toilet paper roll from center target to shelf target', 'move toilet paper roll from shelf target back to center', 'move toilet paper roll from center target to shelf target', 'move toilet paper roll from shelf target back to center', 'move toilet paper roll from center target to shelf target', 'move toilet paper roll from shelf target back to center', 'move toilet paper roll from center target to shelf target', 'move toilet paper roll from shelf target back to center', 'move toilet paper roll from center target to shelf target', 'move toilet paper roll from shelf target back to center', 'move toilet paper roll from center target to shelf target', 'move toilet paper roll from shelf target back to center']","generate_until","['The patient performs a series of movements with their right hand, including lifting and placing the pink cylinder on the table, and sliding it back and forth.']","The patient performs a series of movements with their right hand, including lifting and placing the pink cylinder on the table, and sliding it back and forth.","60"
"31","m","1","['move toilet paper roll from center target to shelf target', 'move toilet paper roll from shelf target back to center', 'move toilet paper roll from center target to shelf target', 'move toilet paper roll from shelf target back to center', 'move toilet paper roll from center target to shelf target', 'move toilet paper roll from shelf target back to center', 'move toilet paper roll from center target to shelf target', 'move toilet paper roll from shelf target back to center', 'move toilet paper roll from center target to shelf target', 'move toilet paper roll from shelf target back to center', 'move toilet paper roll from center target to shelf target', 'move toilet paper roll from shelf target back to center']","generate_until","['The patient performs a series of movements with their right arm, lifting and moving the pink object in various directions.']","The patient performs a series of movements with their right arm, lifting and moving the pink object in various directions.","40"
"32","m","1","['move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center']","generate_until","['The patient performs a series of movements with their right hand, including lifting and rotating the cylinder, while the therapist observes.']","The patient performs a series of movements with their right hand, including lifting and rotating the cylinder, while the therapist observes.","30"
"33","m","1","['move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center', 'move toilet paper roll from center to outside target', 'move toilet paper roll from outside target back to center']","generate_until","['The patient performs a series of movements with their hands, including touching and moving the blue cube, and placing their hands on the mat.']","The patient performs a series of movements with their hands, including touching and moving the blue cube, and placing their hands on the mat.","10"
"34","m","1","['wet toothbrush', 'apply toothpaste to toothbrush', 'replace cap on toothpaste tube', 'brush teeth', 'rinse toothbrush and mouth', 'place toothbrush back on countertop']","generate_until","['The patient, wearing a red shirt and black wristbands, is seated in front of a sink. They pick up a toothbrush and tube of toothpaste, apply toothpaste to the toothbrush, and then place the toothbrush back on the counter.']","The patient, wearing a red shirt and black wristbands, is seated in front of a sink. They pick up a toothbrush and tube of toothpaste, apply toothpaste to the toothbrush, and then place the toothbrush back on the counter.","20"
"35","m","1","['pick up comb', 'comb both sides of head']","generate_until","['The patient performs a series of movements with their right hand and arm, including touching the surface of the mat, lifting their hand to their head, and then returning it to the mat.']","The patient performs a series of movements with their right hand and arm, including touching the surface of the mat, lifting their hand to their head, and then returning it to the mat.","20"
"36","m","1","['remove deodorant cap', 'twist deodorant base a few times', 'apply deodorant', 'replace deodarant cap', 'untwist the deodorant base', 'put deodorant on table']","generate_until","['The patient performs a series of movements with their right arm, including lifting and rotating the white cylinder, and placing it back on the table.']","The patient performs a series of movements with their right arm, including lifting and rotating the white cylinder, and placing it back on the table.","65"
"37","m","1","['open water bottle', 'pour water into cup', 'take a sip of water', 'place cup on table', 'replace cap on bottle']","generate_until","['The patient, wearing a red shirt and black wrist braces, is seated at a table with a coffee cup and a water bottle. He reaches for the coffee cup with his right hand, lifts it to his mouth as if to take a sip, then places it back on the table. He then reaches for the water bottle with his left hand, unscrews the cap, and places the cap back on the bottle.']","The patient, wearing a red shirt and black wrist braces, is seated at a table with a coffee cup and a water bottle. He reaches for the coffee cup with his right hand, lifts it to his mouth as if to take a sip, then places it back on the table. He then reaches for the water bottle with his left hand, unscrews the cap, and places the cap back on the bottle.","30"
